filial;id_venc;codigo;descricao;lote;qtd_vencendo;dt_vencimento;prc_venda
56;00056782;217344;CHOC CHOKITO 32GR             ;;30;202607;2,99;
74;00057961;217344;CHOC CHOKITO 32GR             ;;29;202607;2,99;
60;00056866;217344;CHOC CHOKITO 32GR             ;;29;202607;2,99;
18;00061606;217344;CHOC CHOKITO 32GR             ;;28;202607;2,99;
73;00060732;217344;CHOC CHOKITO 32GR             ;;11;202607;2,99;
12;00062776;217344;CHOC CHOKITO 32GR             ;;28;202607;2,99;
78;00064151;217344;CHOC CHOKITO 32GR             ;;24;202607;2,99;
16;00064481;217344;CHOC CHOKITO 32GR             ;;25;202607;2,99;
66;00072912;217344;CHOC CHOKITO 32GR             ;;26;202607;2,99;
74;00077691;217344;CHOC CHOKITO 32GR             ;;3;202607;2,99;
57;00069576;218626;CHOC TWIX 40GR                ;;10;202607;3,99;
55;00076010;218626;CHOC TWIX 40GR                ;;10;202607;3,99;
66;00072905;218626;CHOC TWIX 40GR                ;;10;202607;3,99;
13;00076061;218626;CHOC TWIX 40GR                ;;3;202607;3,99;
62;00079774;218626;CHOC TWIX 40GR                ;;14;202608;3,99;
51;00080172;218626;CHOC TWIX 40GR                ;;14;202607;3,99;
53;00043542;237493;CHOC MEM AMENDOIN 45/40GR     ;;14;202608;4,99;
16;00073779;259179;CHOC KINDER T4X20X8 50G       ;;3;202608;8,99;
33;00012735;263028;SUCO DEL VALLE UVA LT 290ML   ;;4;202608;3,99;
27;00051511;919829;REFRI COCA COLA 350ML         ;;12;202608;3,99;
7;00063765;919829;REFRI COCA COLA 350ML         ;;2;202607;3,99;
51;00068653;919829;REFRI COCA COLA 350ML         ;;7;202608;3,99;
51;00056211;936316;ATIV PLUS GUARANA COM ACAI 290;;19;202608;1,99;
33;00081062;965030;PICOLE FRUTTARE UVA           ;;24;202608;6,99;
65;00079771;975990;FANDANGOS QUEIJO 85G          ;;1;202607;4,5;
69;00081092;975990;FANDANGOS QUEIJO 85G          ;;5;202607;4,5;
47;00040695;986224;BISS PRETO 100,8G             ;;2;202608;5,99;
